순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,루팡의 딸 =Daughter of Lupin ,저자: 요코제키 다이 ;옮긴이: 최재호,Book Plaza(북플라자),2019,,9788998274412,3830,833.6,24,남자,청소년(14~19세),대전
1,미적분의 쓸모 :미래를 예측하는 새로운 언어 ,한화택 지음,길벗,2021,,9791165215491,3410,414,24,남자,청소년(14~19세),대전
3,미적분으로 바라본 하루 :일상 속 어디에나 있는 수학 찾기 ,오스카 E. 페르난데스 지음 ;김수환 옮김,프리렉,2015,,9788965400912,93400,414.1,23,남자,청소년(14~19세),대전
4,코스모스 :특별판 ,칼 세이건 지음 ;홍승수 옮김,사이언스북스,2006,,9788983711892,3400,443.1,21,남자,청소년(14~19세),대전
5,침묵의 봄 ,지은이: 레이첼 카슨 ;옮긴이: 김은령,에코리브르,2011,,9788962630619,3300,539.9,20,남자,청소년(14~19세),대전
6,시간여행 =Time trip ,"이광수,이주현 공저",녹색그룹,[2012],,9788987383019,3420,420.12,19,남자,청소년(14~19세),대전
7,"스트링 코스모스=초끈 이론, M-이론, 그리고 우주의 궁극 이론을 찾아서/String comos",남순건 지음,지호출판사,2007,,9788959090259,3420,420.1,18,남자,청소년(14~19세),대전
7,"(정재승의) 과학콘서트 :복잡한 세상, 명쾌한 과학 ",정재승 지음,어크로스,2011,,9788996588733,13500,404,18,남자,청소년(14~19세),대전
7,"진이, 지니 :정유정 장편소설 ",지은이: 정유정,은행나무,2019,,9791189982140,3810,813.7,18,남자,청소년(14~19세),대전
10,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9788972756194,3830,833.6,17,남자,청소년(14~19세),대전
10,죽은 시인의 사회,톰 슐만 지음;한은주 옮김,서교출판사,2003,,9788988027400,3840,843,17,남자,청소년(14~19세),대전
10,이토록 공부가 재미있어지는 순간 :공부에 지친 청소년들을 위한 힐링 에세이 ,박성혁 지음,다산북스,2015,,9791130604626,13370,373,17,남자,청소년(14~19세),대전
10,수학의 쓸모 :불확실한 미래에서 보통 사람들도 답을 얻는 방법 ,"닉 폴슨,노태복 옮김",길벗,2020,,9791165210991,3410,410.4,17,남자,청소년(14~19세),대전
14,뺑덕,배유안 (지은이),창비,2014,61,9788936456610,3810,,16,남자,청소년(14~19세),대전
14,책만 보는 바보:이덕무와 그의 벗들 이야기,안소영 지음;강남미 그림,보림출판사,2005,,9788943305840,73810,813.6,16,남자,청소년(14~19세),대전
14,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,2019,,9788954654753,3810,813.7,16,남자,청소년(14~19세),대전
14,게놈 익스프레스 =유전자의 실체를 벗기는 가장 지적인 탐험 /Genome express ,조진호 글·그림,위즈덤하우스,2016,,9788960869738,7400,476.10733,16,남자,청소년(14~19세),대전
14,스키너의 심리상자 열기:세상을 뒤바꾼 위대한 심리 실험 10장면,로렌 슬레이터 지음;조증열 옮김,에코의서재,2006,,9788995688908,3810,180.733,16,남자,청소년(14~19세),대전
14,수학이 필요한 순간 :인간은 얼마나 깊게 생각할 수 있는가 ,지은이: 김민형,인플루엔셜,2018,,9791186560785,3400,410,16,남자,청소년(14~19세),대전
20,기억술사 :오리가미 교야 장편소설 ,지은이: 오리가미 교야 ;김수지,Arte(북이십일 아르테),2017,1,9788950969608,4830,833.6,15,남자,청소년(14~19세),대전
20,인류의 미래를 바꿀 유전자 이야기 :누구나 손쉽게 할 수 있는 개인 맞춤 유전체 검사가 여는 새로운 세상 ,김경철 지음,세종,2020,,9788984077881,3470,513.042,15,남자,청소년(14~19세),대전
20,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,49,9791164134991,77400,400,15,남자,청소년(14~19세),대전
20,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘 ",앤절라 더크워스 지음 ;김미정 옮김,비즈니스북스,2016,,9791186805398,3190,325.211,15,남자,청소년(14~19세),대전
20,"신은 주사위 놀이를 하지 않는다 :로또부터 진화까지, 우연한 일들의 법칙 ",데이비드 핸드 지음 ;전대호 옮김,길벗,2016,,9791186978801,3400,413.1,15,남자,청소년(14~19세),대전
25,이기적 유전자 :진화론의 새로운 패러다임 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2010,,9788932471631,3470,491.51,14,남자,청소년(14~19세),대전
25,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2018,,9788932473901,3470,491.51,14,남자,청소년(14~19세),대전
25,나도 모르게 생각한 생각들 ,요시타케 신스케 지음 ;고향옥 옮김,김영사,2020,,9788934992592,3830,838,14,남자,청소년(14~19세),대전
25,로마인 이야기,시오노 나나미 지음 ;김석희 옮김,한길사,1996,1,9788935610242,4900,922,14,남자,청소년(14~19세),대전
25,아몬드손원평 장편소설,손원평,창비,2017,,9788936434267,3810,813.7,14,남자,청소년(14~19세),대전
25,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,2,9788965744030,4810,813.62,14,남자,청소년(14~19세),대전
